ファイル名,ID,名前,クラス,種類,コスト,攻撃,体力,効果,フレーバー,プロンプト
"N006.png","N006","狼の群れ","ニュートラル","フォロワー",4,2,2,"突進 ファンファーレ: 狼(2/2)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「狼の群れ」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: 突進 ファンファーレ: 狼(2/2)を1体出す。。"
"N010.png","N010","遍歴の戦士","ニュートラル","フォロワー",4,4,4,"","名を訊ねても、答えは返ってこない。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「遍歴の戦士」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。フレーバー: 名を訊ねても、答えは返ってこない。。"
"N008.png","N008","石の巨人","ニュートラル","フォロワー",5,4,6,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「石の巨人」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: 守護。"
"N011.png","N011","老賢者","ニュートラル","フォロワー",6,4,5,"ファンファーレ: カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「老賢者」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。カード効果のヒント: ファンファーレ: カードを2枚引く。。"
"N012.png","N012","山の古竜","ニュートラル","フォロワー",7,7,7,"","山そのものが動いた、と村人は言った。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「山の古竜」。キャラクターの上半身〜全身のポートレート。世界観: 中世ファンタジーの旅人や村人。落ち着いた土の色、素朴で温かい雰囲気。フレーバー: 山そのものが動いた、と村人は言った。。"
"K001.png","K001","見習い従者","騎士","フォロワー",1,1,1,"ファンファーレ: 兵士(1/1)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「見習い従者」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: ファンファーレ: 兵士(1/1)を1体出す。。"
"K002.png","K002","盾持ちの兵","騎士","フォロワー",1,1,2,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「盾持ちの兵」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 守護。"
"K015.png","K015","突撃命令","騎士","スペル",1,,,"自分のフォロワー1体を+2/+0する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「突撃命令」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 自分のフォロワー1体を+2/+0する。。"
"K003.png","K003","王国の剣士","騎士","フォロワー",2,2,2,"ファンファーレ: 自分の他のフォロワー1体を+1/+0する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「王国の剣士」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: ファンファーレ: 自分の他のフォロワー1体を+1/+0する。。"
"K004.png","K004","槍騎兵","騎士","フォロワー",2,2,1,"突進","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「槍騎兵」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 突進。"
"K016.png","K016","鼓舞","騎士","スペル",2,,,"自分のフォロワー全てを+1/+1する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「鼓舞」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 自分のフォロワー全てを+1/+1する。。"
"K017.png","K017","槍投げ","騎士","スペル",2,,,"相手のフォロワー1体に2ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「槍投げ」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 相手のフォロワー1体に2ダメージ。。"
"K019.png","K019","訓練場","騎士","アミュレット",2,,,"カウントダウン 2 ラストワード: 兵士(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「訓練場」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: カウントダウン 2 ラストワード: 兵士(1/1)を2体出す。。"
"K005.png","K005","白銀の盾兵","騎士","フォロワー",3,2,4,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「白銀の盾兵」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 守護。"
"K006.png","K006","旗手","騎士","フォロワー",3,2,2,"ファンファーレ: 自分のフォロワー全てを+1/+0する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「旗手」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: ファンファーレ: 自分のフォロワー全てを+1/+0する。。"
"K013.png","K013","竜殺しの狩人","騎士","フォロワー",3,2,2,"必殺","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「竜殺しの狩人」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 必殺。"
"K018.png","K018","援軍","騎士","スペル",3,,,"兵士(1/1)を3体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「援軍」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 兵士(1/1)を3体出す。。"
"K007.png","K007","騎馬隊長","騎士","フォロワー",4,3,3,"突進 ファンファーレ: 兵士(1/1)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「騎馬隊長」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 突進 ファンファーレ: 兵士(1/1)を1体出す。。"
"K008.png","K008","王国の聖騎士","騎士","フォロワー",4,3,4,"ドレイン","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「王国の聖騎士」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: ドレイン。"
"K020.png","K020","守護の紋章","騎士","アミュレット",4,,,"カウントダウン 3 ラストワード: 自分のフォロワー全てを+2/+2する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「守護の紋章」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: カウントダウン 3 ラストワード: 自分のフォロワー全てを+2/+2する。。"
"K009.png","K009","城壁の守り手","騎士","フォロワー",5,3,6,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「城壁の守り手」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 守護。"
"K010.png","K010","竜騎士","騎士","フォロワー",5,4,4,"疾走","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「竜騎士」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 疾走。"
"K011.png","K011","軍団長","騎士","フォロワー",6,4,4,"ファンファーレ: 兵士(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「軍団長」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: ファンファーレ: 兵士(1/1)を2体出す。。"
"K012.png","K012","王国の英雄","騎士","フォロワー",7,6,6,"ファンファーレ: 自分のフォロワー全てを+1/+1する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「王国の英雄」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: ファンファーレ: 自分のフォロワー全てを+1/+1する。。"
"K014.png","K014","国王","騎士","フォロワー",8,6,6,"守護 ファンファーレ: 兵士(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「国王」。キャラクターの上半身〜全身のポートレート。世界観: 王国の騎士団。銀の鎧、青と金の紋章、城と旗、気高く堂々とした雰囲気。カード効果のヒント: 守護 ファンファーレ: 兵士(1/1)を2体出す。。"
"M001.png","M001","見習い魔術師","魔導","フォロワー",1,1,1,"ファンファーレ: 相手のリーダーかフォロワー1体に1ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「見習い魔術師」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: 相手のリーダーかフォロワー1体に1ダメージ。。"
"M011.png","M011","マジックミサイル","魔導","スペル",1,,,"相手のリーダーかフォロワー1体に1ダメージ。カードを1枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「マジックミサイル」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のリーダーかフォロワー1体に1ダメージ。カードを1枚引く。。"
"M002.png","M002","書庫番","魔導","フォロワー",2,2,1,"ファンファーレ: カードを1枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「書庫番」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: カードを1枚引く。。"
"M013.png","M013","凍結","魔導","スペル",2,,,"相手のフォロワー1体に3ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「凍結」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のフォロワー1体に3ダメージ。。"
"M017.png","M017","精霊召喚","魔導","スペル",2,,,"火の精霊(1/1 突進)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「精霊召喚」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 火の精霊(1/1 突進)を2体出す。。"
"M003.png","M003","火の精霊使い","魔導","フォロワー",3,2,3,"ファンファーレ: 火の精霊(1/1 突進)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「火の精霊使い」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: 火の精霊(1/1 突進)を1体出す。。"
"M009.png","M009","吸魔の蝙蝠","魔導","フォロワー",3,3,2,"ドレイン","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「吸魔の蝙蝠」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ドレイン。"
"M012.png","M012","火球","魔導","スペル",3,,,"相手のリーダーかフォロワー1体に3ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「火球」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のリーダーかフォロワー1体に3ダメージ。。"
"M019.png","M019","炎の矢","魔導","スペル",3,,,"相手のリーダーに3ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「炎の矢」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のリーダーに3ダメージ。。"
"M020.png","M020","魔力の泉","魔導","アミュレット",3,,,"カウントダウン 2 ラストワード: カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「魔力の泉」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: カウントダウン 2 ラストワード: カードを2枚引く。。"
"M004.png","M004","雷の魔術師","魔導","フォロワー",4,3,3,"ファンファーレ: 相手のフォロワー1体に2ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「雷の魔術師」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: 相手のフォロワー1体に2ダメージ。。"
